Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,27.540001,27.799999,27.070000,27.440001,26.998436,31952200
2020-07-16,27.170000,27.320000,26.920000,26.980000,26.545834,19476200
2020-07-17,27.110001,27.400000,27.000000,27.219999,26.781975,32460900
2020-07-20,27.250000,27.530001,26.959999,27.299999,26.860685,28731700
2020-07-21,27.600000,28.040001,27.360001,27.780001,27.332962,37090400
2020-07-22,27.850000,27.850000,26.770000,27.070000,26.634388,45613600
2020-07-23,27.100000,27.139999,26.459999,26.500000,26.073563,29315400
2020-07-24,26.350000,26.879999,26.110001,26.469999,26.044046,30196700
2020-07-27,26.629999,27.920000,26.540001,27.799999,27.352638,49462200
2020-07-28,27.719999,28.260000,27.520000,27.639999,27.195215,23778800
2020-07-29,28.150000,28.490000,27.879999,28.290001,27.834757,27162200
2020-07-30,27.870001,28.230000,27.420000,27.809999,27.362478,29092900
2020-07-31,27.940001,27.980000,26.790001,26.889999,26.457283,30880200
2020-08-03,27.100000,27.709999,26.500000,27.280001,26.855989,33197100
2020-08-04,26.250000,26.690001,25.410000,25.690001,25.290707,79805400
2020-08-05,26.150000,26.299999,25.360001,25.670000,25.271011,49930400
2020-08-06,25.700001,26.299999,25.410000,26.030001,25.625422,29915600
2020-08-07,25.629999,26.450001,25.400000,25.480000,25.083965,66608400
2020-08-10,25.520000,26.080000,25.410000,25.809999,25.408836,30106100
2020-08-11,26.120001,26.290001,25.510000,25.510000,25.113501,26227500
2020-08-12,25.690001,25.860001,24.910000,25.219999,24.828003,49561800
2020-08-13,25.459999,25.549999,24.500000,24.500000,24.119200,40945900
2020-08-14,24.570000,25.209999,24.370001,24.730000,24.345627,30640600
2020-08-17,24.719999,24.750000,23.850000,24.139999,23.764795,37792600
2020-08-18,24.620001,24.639999,24.049999,24.240000,23.915649,41973500
2020-08-19,24.320000,24.420000,24.020000,24.120001,23.797255,27450600
2020-08-20,23.700001,24.240000,23.540001,24.120001,23.797255,33264500
2020-08-21,23.910000,24.240000,23.809999,24.080000,23.757788,23749000
2020-08-24,24.250000,24.830000,24.230000,24.480000,24.152433,33449000
2020-08-25,24.639999,24.700001,24.120001,24.299999,23.974846,32007000
2020-08-26,24.299999,24.360001,23.510000,23.790001,23.471670,30643300
2020-08-27,23.889999,24.500000,23.799999,24.180000,23.856451,35293000
2020-08-28,24.299999,24.559999,24.150000,24.430000,24.103106,56136100
2020-08-31,24.170000,24.290001,23.549999,23.549999,23.234879,45045400
2020-09-01,23.870001,24.340000,23.730000,24.340000,24.029615,56182800
2020-09-02,24.350000,24.450001,23.900000,24.290001,23.980253,25170900
2020-09-03,24.200001,25.500000,24.160000,24.879999,24.562727,81001700
2020-09-04,25.160000,25.290001,24.549999,24.959999,24.641712,41679900
2020-09-08,24.559999,24.770000,24.270000,24.400000,24.088850,29238000
2020-09-09,24.600000,24.809999,24.160000,24.430000,24.118469,29670800
2020-09-10,24.400000,24.660000,23.900000,23.910000,23.605099,36321500
2020-09-11,23.950001,24.070000,23.430000,23.629999,23.328669,23347700
2020-09-14,23.790001,24.219999,23.320000,24.049999,23.743311,43488900
2020-09-15,24.170000,24.230000,23.600000,23.730000,23.427395,29225600
2020-09-16,23.760000,24.219999,23.639999,23.660000,23.358284,25625200
2020-09-17,23.500000,23.830000,23.389999,23.690001,23.387905,25068700
2020-09-18,23.500000,23.620001,23.030001,23.100000,22.805428,39088400
2020-09-21,22.750000,23.020000,22.450001,22.900000,22.607975,36572200
2020-09-22,22.850000,23.309999,22.760000,23.100000,22.805428,27268300
2020-09-23,22.920000,23.129999,22.469999,22.480000,22.193333,24621300
2020-09-24,22.500000,23.340000,22.420000,23.030001,22.736320,40036100
2020-09-25,22.809999,22.980000,22.620001,22.910000,22.617853,21771300
2020-09-28,23.250000,23.900000,22.580000,22.900000,22.607975,58336100
2020-09-29,22.900000,22.910000,22.299999,22.400000,22.114353,27102100
2020-09-30,22.580000,22.690001,22.370001,22.500000,22.213079,22314900
2020-10-01,22.549999,22.600000,22.180000,22.520000,22.247654,20474100
2020-10-02,22.360001,23.320000,22.340000,22.590000,22.316811,35482000
2020-10-05,22.719999,23.010000,22.340000,22.830000,22.553909,22837500
2020-10-06,23.090000,23.379999,22.709999,22.870001,22.593426,21135900
2020-10-07,22.930000,23.000000,22.570000,22.700001,22.425482,22796100
2020-10-08,22.719999,24.280001,22.600000,24.070000,23.778912,63209400
2020-10-09,23.900000,24.610001,23.590000,24.000000,23.709761,48948600
2020-10-13,23.980000,24.129999,23.620001,23.770000,23.482538,31012000
2020-10-14,23.889999,23.969999,23.660000,23.700001,23.413387,22051900
2020-10-15,23.459999,23.730000,23.260000,23.490000,23.205925,21805300
2020-10-16,23.410000,23.450001,23.090000,23.110001,22.830521,21261200
2020-10-19,23.250000,23.950001,22.940001,23.360001,23.077497,38280600
2020-10-20,23.520000,24.400000,23.500000,24.290001,23.996252,45724900
2020-10-21,24.260000,24.940001,24.070000,24.510000,24.213589,38138400
2020-10-22,24.570000,25.920000,24.549999,25.770000,25.458349,66456800
2020-10-23,25.900000,26.299999,25.410000,25.440001,25.132341,50548200
2020-10-26,25.299999,25.860001,25.160000,25.620001,25.310169,32133100
2020-10-27,26.100000,26.170000,24.690001,24.889999,24.588993,47280100
2020-10-28,24.250000,24.420000,23.730000,23.780001,23.492420,38652600
2020-10-29,23.580000,24.040001,23.040001,23.900000,23.610966,42962500
2020-10-30,23.650000,23.930000,23.230000,23.480000,23.196047,39190000
2020-11-03,23.900000,24.320000,23.709999,24.040001,23.764456,37440300
2020-11-04,25.500000,25.740000,24.870001,25.000000,24.713453,96994100
2020-11-05,25.510000,25.940001,25.410000,25.590000,25.296690,44134800
2020-11-06,25.350000,25.820000,25.260000,25.559999,25.267035,31827000
2020-11-09,26.740000,28.020000,26.740000,27.629999,27.313307,100112100
2020-11-10,27.650000,29.150000,27.650000,28.879999,28.548979,85146900
2020-11-11,28.760000,29.000000,28.209999,28.639999,28.311731,61520200
2020-11-12,28.420000,28.850000,27.590000,27.940001,27.619755,46072600
2020-11-13,28.170000,28.600000,27.990000,28.469999,28.143679,36847800
2020-11-16,29.020000,29.590000,28.900000,29.469999,29.132215,54007200
2020-11-17,29.370001,29.610001,28.900000,29.490000,29.151989,40598300
2020-11-18,29.430000,29.570000,28.709999,28.770000,28.440243,41345800
2020-11-19,28.900000,29.400000,28.670000,28.809999,28.479782,26638900
2020-11-23,28.850000,29.209999,28.730000,28.900000,28.568752,27575800
2020-11-24,29.100000,30.180000,29.100000,29.709999,29.369465,47660000
2020-11-25,29.620001,29.790001,28.930000,29.360001,29.023479,42232200
2020-11-26,29.290001,29.340000,28.620001,28.740000,28.410585,30682100
2020-11-27,29.049999,29.790001,28.900000,28.959999,28.628063,44145000
2020-11-30,28.969999,29.200001,28.559999,28.559999,28.232647,59889300
2020-12-01,29.049999,30.469999,28.940001,29.750000,29.424463,51364700
2020-12-02,29.920000,30.240000,29.440001,29.980000,29.651945,32159500
2020-12-03,30.139999,30.879999,29.900000,29.959999,29.632162,39887800
2020-12-04,30.219999,30.410000,29.650000,30.260000,29.928879,35096600
2020-12-07,30.250000,31.059999,30.030001,30.440001,30.106913,30663100
2020-12-08,30.440001,31.129999,30.190001,30.360001,30.027788,27834200
2020-12-09,30.389999,30.740000,30.290001,30.540001,30.205820,31583600
2020-12-10,30.760000,31.719999,30.760000,31.549999,31.204765,50472900
2020-12-11,31.170000,31.480000,30.809999,31.299999,31.020388,24005000
